"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"204342_at",1.18784633333333,7.19114948484848,4.71633143005058,0.000532346782918435,0.0153768631040594,-0.172584988191613
"218611_at",1.39578355555556,8.09392418181818,4.71352399092723,0.000534874519420477,0.0154281165077066,-0.177373028628425
"203625_x_at",-1.05487718888889,7.73554142424242,-4.70882190703165,0.000539136333200243,0.0155281918161424,-0.185394619447326
"225189_s_at",-1.57865191111111,8.34180439393939,-4.70466378939293,0.000542934741397334,0.0155728740006256,-0.19249058368932
"221773_at",1.55768602222222,7.63127787878788,4.69981291350159,0.000547401418587897,0.0156554502640479,-0.200771559086221
"226390_at",-1.24831911111111,8.16989466666667,-4.69946332309788,0.000547724803544536,0.0156554502640479,-0.201368464341695
"222495_at",1.14276413333333,8.67372757575758,4.69788962032595,0.000549183019683979,0.0156752524761227,-0.204055663530323
"228176_at",1.63105732222222,8.4975793030303,4.68976002373896,0.000556781026724764,0.0158369403289025,-0.217942509067041
"212737_at",1.09091855555556,8.19279484848485,4.68387658816381,0.000562348336529135,0.0159509871993745,-0.227997751176872
"1554482_a_at",-1.06225986666667,9.69149793939394,-4.68090493642749,0.000565182437135357,0.0160095982115951,-0.233078205075061
"221163_s_at",-1.07418367777779,8.81113230303031,-4.68048173852302,0.000565587260728488,0.0160095982115951,-0.233801812304096
"214420_s_at",-2.03952148888888,9.52200133333333,-4.67913228317756,0.000566880153890335,0.0160351134138082,-0.236109337730378
"223582_at",-1.32469251111111,8.50785715151515,-4.67154012513492,0.000574211976649529,0.0161532612304863,-0.249095991123699
"214124_x_at",-1.13150451111111,8.23079854545454,-4.66839147468783,0.000577281712637346,0.0162173399642751,-0.254484010909495
"204999_s_at",-1.12880094444445,8.54214327272727,-4.66541841029899,0.000580196030231312,0.0162768830152358,-0.259572716344221
"209785_s_at",1.48660542222222,7.84041084848485,4.66455029039343,0.000581049897538607,0.0162799297213236,-0.261058803602118
"209146_at",-1.24850144444445,12.1631887878788,-4.66403419170594,0.000581558146228826,0.0162799297213236,-0.261942330011841
"205554_s_at",-1.73045822222223,11.173766969697,-4.66313147489671,0.000582448251328668,0.0162799297213236,-0.263487801662798
"203775_at",-1.58232355555553,10.2321542424242,-4.66211000284007,0.000583457172129456,0.0162799297213236,-0.265236709097061
"206867_at",-1.50175195555555,8.89817736363636,-4.66134653070004,0.000584212457365948,0.0162805832300951,-0.266543969497913
"229061_s_at",-1.09064865555556,8.24312033333333,-4.65638939531781,0.000589141389338601,0.01637219510631,-0.275033647200551
"205568_at",-1.32129053333333,11.7350633939394,-4.65634115368363,0.000589189569733169,0.01637219510631,-0.27511628189712
"218392_x_at",-1.15760357777778,8.406146,-4.64983316984078,0.00059572723687899,0.0164982462646337,-0.286266709538094
"202595_s_at",1.05864165555556,8.58346236363636,4.64937552753103,0.000596189813632516,0.0164982462646337,-0.287051009649083
"209267_s_at",-1.15284551111111,8.90308975757576,-4.64935113931908,0.000596214475350472,0.0164982462646337,-0.287092806517687
"1559910_at",-1.33711231111111,8.80260878787879,-4.64656113783661,0.000599042823065236,0.0165393217075412,-0.291874844560534
"212815_at",1.14808717777778,8.56781836363636,4.64146096358398,0.000604249438470243,0.0166392717294218,-0.300619024523315
"1563298_at",-1.00847003333333,6.96376203030303,-4.64086859361523,0.000604857232603627,0.0166392717294218,-0.301634846315925
"214055_x_at",1.1811772,9.0480773939394,4.63743266114322,0.000608395266069768,0.0167131198544277,-0.307527799878955
"231678_s_at",-2.37683800000001,13.4826290909091,-4.63293090396973,0.000613063589664036,0.0168075445575965,-0.31525098133494
"211981_at",2.22785957777778,8.33028466666667,4.62426950916183,0.000622151161639837,0.0170225046289954,-0.330117527977101
"204363_at",2.11273397777777,7.79110418181818,4.61824891977895,0.000628550912269326,0.0171517766926311,-0.340456865877492
"200857_s_at",-1.15440955555555,8.42543993939394,-4.61666601481929,0.000630244908261828,0.0171733454628347,-0.343175984457066
"221588_x_at",-1.53944795555554,11.7806531515152,-4.61504830928087,0.00063198108083993,0.0171995435814769,-0.345955205269848
"1007_s_at",1.23023208888889,8.70474351515151,4.61185710104923,0.000635420666631666,0.0172473128459685,-0.351438659104621
"214020_x_at",1.1279385888889,9.0153453030303,4.61091488094126,0.000636439960274029,0.0172521140521932,-0.353057917759862
"208034_s_at",-1.54927431111111,8.59050018181818,-4.60887652038927,0.000638650913192426,0.0172690336843428,-0.356561332544368
"230309_at",-1.42396701111112,9.43097187878788,-4.60878478466158,0.000638750605038681,0.0172690336843428,-0.356719014652365
